,O,C,E,A,N
Joy,0.6,0.6,0.6,0.6,0.2
Distress,0.4,0.4,0.4,0.4,0.8
Happy-for,0.6,0.6,0.6,0.8,0.2
Pity,0.4,0.4,0.4,0.2,0.8
Gloating,0.6,0.6,0.6,0.8,0.2
Resentment,0.4,0.4,0.4,0.2,0.8
Hope,0.8,0.8,0.6,0.6,0.2
Fear,0.2,0.2,0.4,0.4,0.8
Satisfaction,0.8,0.8,0.6,0.6,0.2
Fears-Confirmed,0.2,0.2,0.4,0.4,0.8
Relief,0.8,0.8,0.6,0.6,0.2
Disapointment,0.2,0.2,0.4,0.4,0.8
Pride,0.6,0.8,0.8,0.6,0.2
Shame,0.4,0.2,0.2,0.4,0.8
Admiration,0.8,0.8,0.8,0.8,0.2
Reproach,0.2,0.2,0.2,0.2,0.8
Gratification,0.6,0.8,0.8,0.6,0.2
Remorse,0.4,0.2,0.2,0.4,0.8
Gratitude,0.6,0.8,0.8,0.8,0.2
Anger,0.4,0.2,0.2,0.2,0.8
Love,0.8,0.6,0.8,0.8,0.2
Hate,0.2,0.4,0.2,0.2,0.8